1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
2: n = 7 m = 5, ms = 23, mst = a[0..6][0..3]
3: n = 10 m = 5, ms = 11, mst = a[0..7][1..1]
4: n = 7 m = 9, ms = 26, mst = a[0..6][5..7]
5: n = 8 m = 9, ms = 21, mst = a[0..5][6..8]
6: n = 9 m = 4, ms = 13, mst = a[6..8][1..3]
7: n = 9 m = 2, ms = 17, mst = a[0..7][0..1]
8: n = 9 m = 3, ms = 12, mst = a[1..6][0..2]
9: n = 4 m = 8, ms = 12, mst = a[0..1][0..3]
10: n = 7 m = 4, ms = 15, mst = a[2..6][0..1]
11: n = 9 m = 4, ms = 21, mst = a[1..7][0..3]
12: n = 9 m = 6, ms = 11, mst = a[0..7][4..5]
13: n = 2 m = 4, ms = 4, mst = a[0..0][2..2]
14: n = 5 m = 7, ms = 13, mst = a[2..2][0..6]
15: n = 2 m = 4, ms = 8, mst = a[0..1][3..3]
16: n = 2 m = 1, ms = 0, mst is empty
17: n = 4 m = 9, ms = 17, mst = a[2..3][0..6]
18: n = 5 m = 8, ms = 10, mst = a[2..4][5..7]
19: n = 10 m = 10, ms = 25, mst = a[0..9][7..9]
20: n = 8 m = 4, ms = 11, mst = a[1..5][0..0]
21: n = 2 m = 7, ms = 6, mst = a[0..0][5..6]
22: n = 1 m = 8, ms = 3, mst = a[0..0][6..6]
23: n = 9 m = 8, ms = 19, mst = a[2..3][0..7]
24: n = 9 m = 1, ms = 9, mst = a[0..7][0..0]
25: n = 3 m = 9, ms = 14, mst = a[1..2][2..8]
26: n = 10 m = 7, ms = 27, mst = a[2..3][0..6]
27: n = 8 m = 4, ms = 11, mst = a[5..7][0..2]
28: n = 9 m = 1, ms = 6, mst = a[7..8][0..0]
29: n = 4 m = 8, ms = 21, mst = a[0..3][2..7]
30: n = 5 m = 8, ms = 9, mst = a[3..3][0..7]
31: n = 4 m = 8, ms = 24, mst = a[0..3][0..7]
32: n = 2 m = 5, ms = 10, mst = a[1..1][0..2]
33: n = 7 m = 7, ms = 24, mst = a[0..4][0..6]
34: n = 2 m = 1, ms = 2, mst = a[0..0][0..0]
35: n = 5 m = 7, ms = 10, mst = a[1..4][0..4]
36: n = 8 m = 7, ms = 34, mst = a[0..6][0..6]
37: n = 10 m = 4, ms = 21, mst = a[0..9][0..3]
38: n = 8 m = 6, ms = 11, mst = a[0..2][5..5]
39: n = 2 m = 1, ms = 2, mst = a[0..0][0..0]
40: n = 4 m = 7, ms = 30, mst = a[0..3][0..6]
41: n = 6 m = 5, ms = 10, mst = a[2..5][4..4]
42: n = 7 m = 4, ms = 10, mst = a[1..2][1..2]
43: n = 3 m = 8, ms = 16, mst = a[0..2][1..7]
44: n = 4 m = 8, ms = 8, mst = a[0..3][1..2]
45: n = 8 m = 10, ms = 25, mst = a[1..7][2..9]
46: n = 7 m = 6, ms = 32, mst = a[0..4][0..5]
47: n = 8 m = 1, ms = 4, mst = a[2..2][0..0]
48: n = 4 m = 7, ms = 6, mst = a[0..3][3..4]
49: n = 9 m = 3, ms = 15, mst = a[1..8][0..1]
50: n = 1 m = 2, ms = 3, mst = a[0..0][0..0]
51: n = 9 m = 7, ms = 23, mst = a[1..5][2..5]
52: n = 4 m = 4, ms = 2, mst = a[1..1][0..0]
53: n = 2 m = 3, ms = 4, mst = a[1..1][1..1]
54: n = 1 m = 7, ms = 8, mst = a[0..0][1..6]
